,img,exp_val,clus_pred,treshold,kern_size,text,clus-error,delta_bacche_abs,delta_bacche
0,count_10_109_2019_10_02_4864_456_1216.png,10,28.0,0.45,350.0,the number of berries,324.0,18.0,18.0
0,count_10_110_2019_10_02_4864_2736_4256.png,10,74.0,0.45,350.0,the number of berries,4096.0,64.0,64.0
0,count_10_112_2019_10_02_4864_3192_3648.png,10,31.0,0.45,350.0,the number of berries,441.0,21.0,21.0
0,count_10_115_2019_10_02_4864_1368_00.png,10,48.0,0.45,350.0,the number of berries,1444.0,38.0,38.0
0,count_10_116_2019_10_02_4864_1824_1824.png,10,14.0,0.45,350.0,the number of berries,16.0,4.0,4.0
0,count_10_119_2019_10_02_4864_1368_1824.png,10,27.0,0.45,350.0,the number of berries,289.0,17.0,17.0
0,count_10_120_2019_10_02_4864_1824_3648.png,10,60.0,0.45,350.0,the number of berries,2500.0,50.0,50.0
0,count_10_122_2019_10_02_4864_00_00.png,10,6.0,0.45,350.0,the number of berries,16.0,4.0,-4.0
0,count_10_122_2019_10_02_4864_1824_608.png,10,44.0,0.45,350.0,the number of berries,1156.0,34.0,34.0
0,count_10_123_2019_10_02_4864_00_608.png,10,11.0,0.45,350.0,the number of berries,1.0,1.0,1.0
0,count_10_123_2019_10_02_4864_1368_3040.png,10,31.0,0.45,350.0,the number of berries,441.0,21.0,21.0
0,count_10_123_2019_10_02_4864_3192_00.png,10,50.0,0.45,350.0,the number of berries,1600.0,40.0,40.0
0,count_10_131_2019_10_02_4864_2280_608.png,10,16.0,0.45,350.0,the number of berries,36.0,6.0,6.0
0,count_10_147_2019_10_02_4864_00_3648.png,10,86.0,0.45,350.0,the number of berries,5776.0,76.0,76.0
0,count_10_147_2019_10_02_4864_1368_1824.png,10,54.0,0.45,350.0,the number of berries,1936.0,44.0,44.0
0,count_10_147_2019_10_02_4864_1824_4256.png,10,80.0,0.45,350.0,the number of berries,4900.0,70.0,70.0
0,count_10_148_2019_10_02_4864_00_00.png,10,9.0,0.45,350.0,the number of berries,1.0,1.0,-1.0
0,count_10_148_2019_10_02_4864_456_608.png,10,33.0,0.45,350.0,the number of berries,529.0,23.0,23.0
0,count_10_151_2019_10_02_4864_00_1824.png,10,27.0,0.45,350.0,the number of berries,289.0,17.0,17.0
0,count_110_166_2019_10_02_4864_2280_4256.png,110,108.0,0.45,350.0,the number of berries,4.0,2.0,-2.0
0,count_11_109_2019_10_02_4864_1368_1216.png,11,44.0,0.45,350.0,the number of berries,1089.0,33.0,33.0
